outer_fold,feature,feature_family,mean_abs_shap,rank
5,sleep_sufficient_lag1,sleep_sufficient,0.0061428894968386626,58.0
5,sleep_sufficient_delta1,sleep_sufficient,0.0,70.0
5,sleep_sufficient_past_mean,sleep_sufficient,0.00781512616420618,53.0
5,water_sufficient_lag1,water_sufficient,0.02473061362031038,38.0
5,water_sufficient_delta1,water_sufficient,0.0,70.0
5,water_sufficient_past_mean,water_sufficient,0.012127855196159382,44.0
5,smoke_lag1,smoke,0.0027701716011998088,64.0
5,smoke_delta1,smoke,0.0,70.0
5,smoke_past_mean,smoke,0.004355544476898651,61.0
5,zarda_betel_lag1,zarda_betel,0.001816132621586566,66.0
5,zarda_betel_delta1,zarda_betel,0.0,70.0
5,zarda_betel_past_mean,zarda_betel,0.021281024068690906,39.0
5,walk_regularly_lag1,walk_regularly,0.00939589600375782,48.0
5,walk_regularly_delta1,walk_regularly,0.0,70.0
5,walk_regularly_past_mean,walk_regularly,0.007180528362382577,54.0
5,urination_proper_lag1,urination_proper,0.014919100631843516,41.0
5,urination_proper_delta1,urination_proper,0.0,70.0
5,urination_proper_past_mean,urination_proper,0.006482755529758987,56.0
5,urinary_infection_lag1,urinary_infection,0.012541451264130758,43.0
5,urinary_infection_delta1,urinary_infection,0.0,70.0
5,urinary_infection_past_mean,urinary_infection,0.10239179132524978,16.0
5,pain_killer_lag1,pain_killer,0.04244833648779338,30.0
5,pain_killer_delta1,pain_killer,0.0,70.0
5,pain_killer_past_mean,pain_killer,0.03423311472674294,33.0
5,weight_kg_past_min,weight_kg,0.06886747259811041,19.0
5,weight_kg_past_max,weight_kg,0.06086061289280974,22.0
5,weight_kg_past_slope,weight_kg,0.11805246666044591,12.0
5,bmi_current_past_min,bmi,0.05391930890464925,28.0
5,bmi_current_past_max,bmi,0.2667564506335247,4.0
5,bmi_current_past_slope,bmi,0.09471685201505745,18.0
5,calorie_intake_past_min,calorie_intake,0.006156695665095159,57.0
5,calorie_intake_past_max,calorie_intake,0.0,70.0
5,calorie_intake_past_slope,calorie_intake,0.4104256122459082,3.0
