Feature_1,Feature_2,Mean_Interaction,SD_Interaction,Interaction_Rank
Lifestyle_Score,Risk_Score,0.008220336059450096,0.007907409561777176,319
Take_Medicine_for_Diabetes,Urinary_Infection,0.008144617246167432,0.008966169288222994,320
Heart_Disease,Lifestyle_Score,0.008133754480658827,0.008496035585261968,321
Job,Calorie_Intake,0.008089755326133917,0.00577438062075246,322
Job,Diabetic_Year,0.008084457299870403,0.004778980059865913,323
Take_Insulin,Lifestyle_Score,0.008080231578077138,0.0048535723702386275,324
Sleep,Weight_Diff,0.008068281670667709,0.007197712847635736,325
Hypertension,Age_Diabetes,0.008060150092040282,0.006485223544290739,326
Take_Insulin,Pain_killer,0.008040497856772251,0.006716430540343896,327
Urination_Properly,Weight_Diff,0.008018132528613778,0.006614515362160867,328
Weight,Heart_Disease,0.00795890128743929,0.008297838897024595,329
Height,Water_Consumption,0.00795675808761076,0.009657584446473817,330
Hypertension,BMI_per_Year,0.007919993190391087,0.006465074919380846,331
Zarda_Betel_Leaf,Current_BMI,0.007836663509033698,0.0071837296792166125,332
Hypertension,Calorie_Intake,0.007801762654091447,0.00470532612375134,333
Gender,Job,0.007799415110935895,0.009798163923218639,334
Heart_Disease,Walk_Regularly,0.0077918682298199595,0.005550073401510295,335
Job,Age_Diabetes,0.0077145201611035245,0.004686457080221785,336
Average_Weight,Urination_Properly,0.007703538221928136,0.00886750559825539,337
Water_Consumption,BMI_Diabetes,0.007683070072634618,0.005995283332711601,338
Take_Medicine_for_Diabetes,BMI_per_Year,0.007570225871708551,0.0060745243923412545,339
Job,Weight,0.007532598086282261,0.007808018253494618,340
Weight,Take_Medicine_for_Diabetes,0.007497901661511802,0.007341461295285782,341
Heart_Disease,Urinary_Infection,0.007496886233361455,0.009257289365670463,342
Gender,Pain_killer,0.007488077899587414,0.005088426651964158,343
Urination_Properly,Age_Diabetes,0.007320042407525417,0.006431130989512248,344
Gender,Walk_Regularly,0.007282649953288191,0.006218789657550905,345
Urinary_Infection,Risk_Score,0.007280378858217415,0.0068072869845836725,346
